1a4r,B
1agp,A
1aje,A
1am4,D
1an0,A
1c1y,A
1cc0,A
1cee,A
1cf4,A
1clu,A
1cxz,A
1d5c,A
1doa,A
1dpf,A
1ds6,A
1e96,A
1ees,A
1foe,B
1g16,A
1g17,A
1g4u,R
1grn,A
1gua,A
1he1,C
1hh4,A
1huq,A
1i4d,D
1i4t,D
1iaq,A
1jah,A
1kmq,A
1ky2,A
1kz7,B
1lb1,B
1lf0,A
1lfd,B
1m7b,A
1mh1,A
1n6h,A
1n6i,A
1n6n,A
1n6o,A
1n6p,A
1n6r,A
1nf3,A
1nvv,Q
1ow3,B
1qbk,C
1rrp,A
1rvd,A
1ryf,A
1s1c,A
1tu3,A
1tu4,A
1tx4,B
1u8y,A
1uad,A
1ukv,Y
1wms,A
1wq1,R
1x1r,A
1x3s,A
1x86,B
1xcg,B
1xcm,A
1xj0,A
1xtq,A
1yu9,A
1yvd,A
1yzk,A
1yzl,A
1yzn,A
1yzq,A
1yzt,A
1yzu,A
1z06,A
1z07,A
1z08,A
1z0a,A
1z0d,A
1z0f,A
1z0j,A
1z0k,A
1z22,A
1z2c,A
1zbd,A
1zc3,A
1zvq,A
1zw6,A
221p,A
2a5j,A
2a78,A
2ase,A
2atv,A
2atx,A
2bcg,Y
2bmd,A
2bov,A
2c2h,A
2c5l,A
2cjw,A
2cjw,B
2cl0,X
2cld,X
2cls,A
2d7c,A
2dfk,B
2dpx,A
2eqb,A
2erx,A
2ery,A
2ew1,A
2f7s,A
2f9l,A
2fe4,A
2fg5,A
2fju,A
2fn4,A
2fol,A
2fu5,C
2fv8,A
2g0n,A
2g3y,A
2g6b,A
2g77,B
2gcn,A
2gco,A
2gf0,A
2gf9,A
2gil,A
2gjs,A
2gzd,A
2h7v,A
2hei,A
2ht6,A
2hup,A
2hv8,A
2hxs,A
2ic5,A
2iey,A
2iez,A
2if0,A
2il1,A
2j0v,A
2j1l,A
2kb0,A
2ke5,A
2kwi,A
2l0x,A
2msc,B
2n1b,A
2nty,C
2nzj,A
2o52,A
2ocb,A
2ocy,C
2odb,A
2oil,A
2q21,A
2qrz,A
2quz,A
2rex,B
2rga,A
2rgb,A
2rgc,A
2rhd,A
2v55,B
2vrw,A
2w2t,A
2w2v,A
2wbl,C
2wm9,B
2wwx,A
2x19,A
2x1v,A
2yin,C
2zet,A
3a58,B
3b13,B
3bbp,A
3bc1,A
3bfk,A
3brw,D
3bwd,D
3cbq,A
3clv,A
3con,A
3cph,A
3cpj,B
3cwz,A
3ddc,A
3dz8,A
3ea5,A
3eg5,A
3gcg,A
3gft,A
3gj0,A
3gj4,A
3i3s,R
3icq,B
3jza,A
3k9n,A
3kkm,A
3kko,A
3kkp,A
3kz1,E
3l0i,B
3law,A
3lo5,A
3lw8,A
3m1i,A
3mjh,A
3msx,A
3nby,C
3nc1,C
3oes,A
3pir,A
3q3j,B
3q72,A
3q85,A
3qbt,A
3qbv,A
3rab,A
3rap,R
3ref,B
3rwm,B
3ryt,C
3sbd,A
3sea,A
3sfv,A
3sua,A
3t5g,A
3th5,A
3tkl,A
3tso,A
3tvd,A
3tw8,B
3v4f,A
3vhl,B
3wyg,A
3x1w,A
3x1y,A
3x1z,A
3zjy,A
421p,A
4aii,A
4c0q,C
4c4p,A
4cym,A
4cz2,A
4d0g,A
4d0l,B
4d0n,A
4did,A
4dkx,A
4drz,A
4dso,A
4dvg,A
4dxa,A
4efl,A
4efm,A
4efn,A
4epr,A
4ept,A
4epx,A
4fmb,B
4fmc,B
4fmc,F
4fmd,F
4gzl,A
4gzm,A
4i1o,A
4iru,B
4js0,A
4jvs,B
4k81,B
4klz,A
4kvg,A
4kyi,B
4l8g,A
4l9s,A
4lhw,A
4li0,A
4lpk,A
4lrw,A
4lwz,A
4m8n,E
4mit,A
4nyi,Q
4nyi,R
4o25,A
4o2l,A
4o2r,A
4ojk,A
4phf,A
4phg,A
4pzy,A
4pzz,A
4q01,A
4q21,A
4q9u,B
4ql3,A
4qxa,A
4rke,A
4rkf,A
4tq9,A
4tqa,A
4u5x,A
4uj3,A
4uj4,A
4uj5,A
4uru,R
4wa7,A
4xh9,B
4xoi,A
4xsg,A
4xvq,A
4xvr,A
4yc7,A
4yon,B
4z8y,A
521p,A
5a0f,A
5c1s,A
5c1t,A
5c2j,B
5c2k,A
5ciw,A
5cjp,A
5cll,A
5cm8,B
5dh9,A
5dis,B
5e95,A
5ez5,A
5fbl,B
5fbr,B
5fi0,B
5fi1,B
5fr1,A
5fr2,A
5hpy,B
5hzh,A
5hzk,A
5irc,F
5jcz,A
5kyk,A
5ldd,C
5lpn,A
5m6x,B
5szh,B
5szi,A
5szj,A
5szk,B
5tar,A
5ub8,A
5uhv,A
5uqw,A
5us4,A
5xco,A
621p,A
6q21,A
721p,A
4ku4,A
